DAYTRIPS (000'),YEAR ENDING JUNE 1999,YEAR ENDING JUNE 2000,YEAR ENDING JUNE 2001,YEAR ENDING JUNE 2002,YEAR ENDING JUNE 2003,YEAR ENDING JUNE 2004,YEAR ENDING JUNE 2005,YEAR ENDING JUNE 2006,YEAR ENDING JUNE 2007,YEAR ENDING JUNE 2008,YEAR ENDING JUNE 2009,YEAR ENDING JUNE 2010,YEAR ENDING JUNE 2011,YEAR ENDING JUNE 2012,YEAR ENDING JUNE 2013,YEAR ENDING JUNE 2014,YEAR ENDING JUNE 2015,YEAR ENDING JUNE 2016,YEAR ENDING JUNE 2017,YEAR ENDING JUNE 2018,YEAR ENDING JUNE 2019,YEAR ENDING JUNE 2020,Total for Region
     Sydney," 20,747 "," 21,627 "," 21,058 "," 18,895 "," 17,499 "," 14,932 "," 13,694 "," 14,896 "," 16,147 "," 16,299 "," 15,979 "," 17,695 "," 18,349 "," 19,431 "," 18,706 "," 20,761 "," 17,382 "," 20,467 "," 19,740 "," 22,157 "," 25,251 "," 23,742 "," 415,453 "
     Blue Mountains," 2,893 "," 2,538 "," 2,183 "," 1,970 "," 1,968 "," 1,317 "," 1,441 "," 1,557 "," 1,793 "," 1,866 "," 1,860 "," 2,070 "," 2,241 "," 2,222 "," 2,108 "," 2,480 "," 2,565 "," 3,024 "," 2,948 "," 2,947 "," 3,111 "," 2,405 "," 49,510 "
     Capital Country," 2,544 "," 2,625 "," 2,498 "," 2,082 "," 2,076 "," 2,393 "," 2,108 "," 1,963 "," 1,616 "," 1,966 "," 2,217 "," 1,852 "," 2,382 "," 2,626 "," 2,305 "," 1,974 "," 2,537 "," 2,395 "," 2,761 "," 2,926 "," 3,579 "," 2,945 "," 52,372 "
     Central Coast," 4,361 "," 3,930 "," 3,862 "," 3,659 "," 3,619 "," 3,408 "," 3,209 "," 2,910 "," 3,319 "," 3,142 "," 2,914 "," 3,465 "," 3,152 "," 3,254 "," 3,707 "," 3,445 "," 3,212 "," 3,315 "," 3,408 "," 3,652 "," 4,552 "," 4,166 "," 77,662 "
     Central NSW," 2,559 "," 2,712 "," 2,391 "," 2,456 "," 2,705 "," 2,145 "," 2,223 "," 2,233 "," 2,240 "," 2,294 "," 2,381 "," 2,331 "," 2,161 "," 2,535 "," 2,397 "," 2,805 "," 2,864 "," 2,663 "," 3,092 "," 2,936 "," 3,349 "," 3,062 "," 56,535 "
     Hunter," 5,829 "," 6,145 "," 5,336 "," 5,242 "," 5,698 "," 4,641 "," 4,254 "," 4,600 "," 4,866 "," 5,420 "," 5,016 "," 5,982 "," 6,166 "," 6,198 "," 5,401 "," 5,738 "," 6,115 "," 6,582 "," 6,668 "," 6,813 "," 8,198 "," 6,436 "," 127,344 "
     New England North West," 1,499 "," 1,738 "," 1,580 "," 1,845 "," 2,140 "," 2,225 "," 1,792 "," 1,859 "," 2,131 "," 1,789 "," 1,605 "," 1,957 "," 1,819 "," 1,860 "," 1,321 "," 1,609 "," 1,791 "," 1,548 "," 1,717 "," 1,880 "," 2,200 "," 1,703 "," 39,607 "
     North Coast NSW," 6,214 "," 6,183 "," 5,580 "," 4,612 "," 5,061 "," 5,142 "," 4,903 "," 5,594 "," 5,336 "," 5,582 "," 5,631 "," 6,754 "," 5,995 "," 6,318 "," 6,230 "," 5,565 "," 6,301 "," 6,615 "," 7,006 "," 7,329 "," 7,433 "," 7,338 "," 132,721 "
     Outback NSW, np , np , np , np , np , np , np , np , 268 , np , np , np , np , np , np , np , np , np , np , np , np , np , 268 
     Riverina," 1,518 "," 1,344 "," 1,404 "," 1,032 "," 1,230 "," 1,324 "," 1,058 "," 1,136 "," 1,278 ", 971 ," 1,122 "," 1,214 "," 1,271 "," 1,473 "," 1,308 "," 1,389 "," 1,570 "," 1,191 "," 1,500 "," 1,635 "," 1,527 "," 1,420 "," 28,916 "
