Locations,Total
     Sydney,415453
     Blue Mountains,49510
     Capital Country,52372
     Central Coast,77662
     Central NSW,56535
     Hunter,127344
     New England North West,39607
     North Coast NSW,132721
     Outback NSW,268
     Riverina,28916
     Snowy Mountains,9953
     South Coast,126666
     The Murray,24194
     Unknown Region NSW - Offshore and Migratory NSW,0
     Total NSW,1147544
     Melbourne,"326,208 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Ballarat,"36,868 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Bendigo Loddon,"46,985 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Central Highlands,"2,046 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Central Murray,"17,466 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Geelong and the Bellarine,"67,056 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Gippsland,"52,556 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Goulburn,"29,370 ",,,,,,,,,,,,,,,,,,,,,,,,,
     High Country,"30,276 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Lakes,"11,583 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Macedon,"22,046 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Mallee,"11,841 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Melbourne East,"59,313 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Murray East,- ,,,,,,,,,,,,,,,,,,,,,,,,,
     Peninsula,"86,955 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Phillip Island,"26,411 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Spa Country,"12,776 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Upper Yarra,"12,587 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Great Ocean Road,"55,935 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Western Grampians,"9,233 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Wimmera,- ,,,,,,,,,,,,,,,,,,,,,,,,,
     Unknown Region VIC - Offshore and Migratory VIC,- ,,,,,,,,,,,,,,,,,,,,,,,,,
     Total VIC,"931,032 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Brisbane,"272,987 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Bundaberg,"13,721 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Southern Queensland Country,"64,576 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Fraser Coast,"10,652 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Gold Coast,"126,664 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Mackay,"13,001 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Townsville,"27,573 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Outback Queensland,"9,677 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Sunshine Coast,"116,587 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Tropical North Queensland,"44,453 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Whitsundays,404 ,,,,,,,,,,,,,,,,,,,,,,,,,
     Capricorn,"26,991 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Gladstone,968 ,,,,,,,,,,,,,,,,,,,,,,,,,
     Unknown Region QLD - Offshore and Migratory QLD,- ,,,,,,,,,,,,,,,,,,,,,,,,,
     Total QLD,"753,474 ",,,,,,,,,,,,,,,,,,,,,,,,,
     Adelaide,"86,631 ",,,,,,,,,,,,,,,,,,,,,,,,,
